feature,importance
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_NPT (daily),1.277689404380516e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_EBITM (daily),1.25532089451631e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_GROW_LNTT (daily),1.2544282900839282e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_KTTL (daily)_lag_7,1.2464445536068852e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_GROW_LNST (daily)_lag_3,1.2398563577284496e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_GROW_VCSH (daily),1.2334605551528833e-05
CMG_financial_data_processed_ROEA (daily)_ma_3_days,1.2131001552903107e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_KTTL (daily)_ma_3_days,1.153441308677401e-05
CMG_financial_data_processed_P/E cơ bản (daily)_lag_7,1.1491880678890734e-05
CMG_financial_data_processed_ROAA (daily)_lag_2,1.1423102960920631e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_TSDLH/TTS (daily),1.1422921211256859e-05
CMG_financial_data_processed_EPS 4 quý (daily)_lag_7,1.1352703204788311e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_TA_Turn (daily)_lag_3,1.1041347375987169e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_GP% (daily)_lag_1,1.0980809069881915e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_CWIP/FA (daily)_lag_6,1.0911187625150818e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_EQ_Turn (daily),1.0562145373251009e-05
